word,lemma,in_bank,bank_headword,level,zipf,sc_opt_exams,sc_opt_correct_exams,restatement_exams,rc_question_exams,exams_any_role,occurrences,weighted_score
crucial,crucial,1,crucial,B2,4.28,1,0,0,0,6,7,13
category,category,1,categories,B1,4.57,1,0,0,1,5,9,13
diversity,diversity,1,diversity,B2,4.32,1,0,2,0,5,6,13
scribe,scribe,0,,off~C2,3.08,1,0,2,0,3,12,13
oral,oral,0,,C1,4.26,1,0,0,0,4,5,12
voyage,voyage,0,,off~C1+,3.89,1,1,0,0,5,6,12
ashore,ashore,0,,off~C1+,3.52,1,1,1,1,4,5,12
sit,sit,0,,A1,4.9,1,0,0,0,5,6,12
routine,routine,0,,A1,4.37,1,0,0,0,5,12,12
fault,fault,0,,B2,4.64,1,0,2,0,3,8,12
wherever,wherever,0,,B2,4.27,1,0,1,0,5,5,12
assess,assess,0,,B2,4.07,1,0,1,0,4,5,12
emphasis,emphasis,1,emphasis,B2,4.19,1,0,1,0,5,5,12
precede,precede,0,,B2,3.74,1,0,2,0,4,4,12
contradict,contradict,0,,off~C2,3.35,1,0,1,0,4,4,12
occupy,occupy,0,,B2,4.32,1,0,1,0,5,5,12
format,format,0,,B2,4.47,1,0,0,0,6,7,12
cross,cross,0,,A2,5.0,1,0,1,0,4,5,12
push,push,0,,A2,4.82,1,0,0,0,6,7,12
partially,partially,0,,C1,4.19,1,0,1,1,4,5,12
exploration,exploration,0,,B2,4.19,1,0,2,0,3,7,12
fossil,fossil,0,,B2,3.99,1,0,0,0,4,5,12
forward,forward,0,,A2,5.12,1,0,0,0,5,6,12
innovation,innovation,0,,B2,4.32,1,0,0,0,5,7,12
minor,minor,1,minor,B2,4.62,1,0,0,0,4,5,12
withdrawal,withdrawal,0,,C1,4.05,1,0,1,1,4,5,12
joy,joy,0,,B2,4.55,1,0,1,0,5,6,12
absolutely,absolutely,0,,B1,4.98,1,0,2,0,4,4,12
situate,situate,0,,C1,4.19,1,1,1,0,4,5,12
adequate,adequate,1,adequate,B2,4.05,1,0,1,0,5,6,12
cancelled,cancell,0,,off~C1,4.22,1,0,2,0,4,4,12
envelope,envelope,0,,B2,3.86,1,0,0,0,4,34,12
decorate,decorate,0,,B1,3.94,1,0,0,0,6,6,12
edge,edge,0,,B1,4.74,1,0,0,0,7,8,12
convention,convention,0,,B2,4.5,1,0,1,0,4,11,12
ahead,ahead,0,,B1,5.01,1,0,2,0,4,4,12
obligation,obligation,0,,B2,4.07,1,0,2,0,4,4,12
bold,bold,1,bold,B2,4.26,1,0,0,0,4,6,12
promptly,promptly,0,,off~C1+,3.84,1,0,2,0,4,4,12
wit,wit,0,,C1,3.96,1,0,1,0,4,5,12
arguably,arguably,0,,C1,3.9,1,0,2,0,4,4,12
sacred,sacred,1,sacred,C1,4.24,1,0,0,0,5,8,12
tip,tip,0,,A2,4.58,1,0,0,0,6,7,12
condemn,condemn,0,,C1,3.97,1,1,2,0,4,4,12
evident,evident,1,evident,B2,3.99,1,0,1,0,6,6,12
sacrifice,sacrifice,0,,C1,4.29,1,1,2,0,3,7,12
pitch,pitch,0,,B2,4.43,1,0,0,0,5,6,12
entertain,entertain,1,entertaining,B1,4.11,1,0,0,0,6,6,12
dare,dare,1,dare,B2,4.31,1,1,1,0,5,5,12
stretch,stretch,0,,B2,4.35,1,0,1,0,5,5,12
preparation,preparation,0,,B2,4.32,1,0,1,0,4,5,12
row,row,0,,B1,4.6,1,0,0,0,6,7,12
soar,soar,0,,C1,3.44,1,1,0,0,6,6,12
noble,noble,0,,C1,4.24,1,1,2,0,3,7,12
substitute,substitute,0,,C1,4.17,1,1,0,0,5,5,12
drought,drought,0,,B2,3.9,1,1,1,0,4,6,12
annually,annually,1,annually,B2,4.16,1,0,0,0,7,8,12
crack,crack,0,,B2,4.41,1,0,0,1,4,9,12
compel,compel,0,,C1,3.98,1,1,1,0,4,5,12
proposal,proposal,0,,B2,4.47,1,0,1,0,5,5,11
practically,practically,0,,off~C1,4.19,1,0,2,0,3,3,11
vivid,vivid,0,,off~C1+,3.75,1,1,1,0,5,5,11
cautious,cautious,0,,C1,3.79,1,0,2,0,3,3,11
ferment,ferment,0,,off~C2,3.18,1,0,1,0,3,4,11
evoke,evoke,0,,C1,3.27,1,1,1,0,5,5,11
disastrous,disastrous,0,,C1,3.68,1,0,1,0,4,4,11
plight,plight,0,,off~C2,3.46,1,0,2,0,2,3,11
aspire,aspire,0,,C1,3.47,1,1,2,0,3,3,11
sympathetic,sympathetic,0,,B2,3.81,1,0,1,0,4,4,11
mode,mode,0,,B2,4.63,1,1,1,0,5,5,11
occupation,occupation,0,,B2,4.2,1,0,0,0,4,4,11
paw,paw,0,,off~C2,3.48,1,0,0,0,4,6,11
vital,vital,0,,B2,4.38,1,0,1,0,5,5,11
worthwhile,worthwhile,0,,C1,3.74,1,1,2,0,3,3,11
meticulous,meticulous,0,,off~C2,3.24,1,0,0,1,4,5,11
objection,objection,0,,C1,3.77,1,0,1,0,3,4,11
solely,solely,0,,C1,4.2,1,0,0,0,5,5,11
prison,prison,0,,A2,4.8,1,1,0,0,4,6,11
trigger,trigger,0,,B2,4.25,1,1,1,0,3,4,11
census,census,0,,off~C1,4.19,1,1,2,0,2,6,11
pastime,pastime,0,,off~C2,3.1,1,1,1,0,5,5,11
realm,realm,0,,C1,4.06,1,0,0,0,5,6,11
flat,flat,0,,A1,4.72,1,0,0,0,7,8,11
tropical,tropical,0,,B2,4.18,1,0,0,0,6,6,11
edition,edition,0,,B2,4.8,1,1,1,0,3,6,11
sting,sting,0,,off~C1+,3.8,1,0,0,0,4,4,11
immunity,immunity,0,,off~C1+,3.91,1,0,2,0,2,3,11
courageous,courageous,0,,off~C1+,3.59,1,0,2,0,2,3,11
confound,confound,0,,off~C2,2.82,1,0,2,0,3,3,11
victim,victim,0,,B1,4.56,1,0,0,0,3,5,11
prescribe,prescribe,0,,C1,3.91,1,0,0,0,5,6,11
admission,admission,0,,C1,4.15,1,0,1,0,4,4,11
impression,impression,0,,B1,4.35,1,1,1,0,5,5,11
comparison,comparison,0,,B1,4.51,1,0,1,1,4,5,11
delight,delight,0,,B2,4.09,1,0,1,0,5,5,11
underestimate,underestimate,0,,off~C1+,3.69,1,0,2,0,3,3,11
donate,donate,0,,B1,4.06,1,0,0,0,4,5,11
retreat,retreat,0,,C1,4.13,1,0,0,1,3,5,11
nomad,nomad,0,,off~C2,3.07,1,0,2,0,2,6,11
dispatch,dispatch,0,,off~C1+,3.76,1,0,2,0,2,6,11
overly,overly,0,,C1,3.83,1,0,2,0,3,3,11
outnumber,outnumber,0,,off~C2,2.98,1,1,2,0,3,3,11
direction,direction,0,,A2,4.93,1,1,0,0,5,5,11
highlight,highlight,0,,B1,4.28,1,0,1,0,4,4,11
foreigner,foreigner,0,,C1,3.87,1,0,0,0,4,7,11
regulation,regulation,0,,B2,4.5,1,0,1,0,4,4,11
dialect,dialect,0,,off~C1+,3.54,1,1,0,0,4,7,11
pave,pave,0,,off~C1+,3.62,1,1,1,0,4,4,11
stress,stress,1,stress,A2,4.73,1,0,0,0,6,9,11
incessant,incessant,0,,off~C2,3.03,1,0,2,0,2,3,11
supplier,supplier,0,,off~C1+,3.91,1,1,1,0,5,5,11
burden,burden,0,,C1,4.23,1,0,2,0,2,3,11
lamp,lamp,0,,A2,4.05,1,0,0,0,4,8,11
essentially,essentially,1,essentially,B2,4.42,1,0,0,0,5,6,11
dump,dump,0,,B2,4.08,1,0,0,0,3,5,11
shade,shade,0,,B2,4.16,1,1,0,0,5,6,11
attest,attest,0,,off~C2,3.25,1,1,0,1,4,5,11
highway,highway,0,,B2,4.49,1,0,0,0,3,6,11
enforce,enforce,0,,C1,3.96,1,0,0,0,4,5,11
pray,pray,0,,B1,4.4,1,0,0,0,4,4,11
chiefly,chiefly,0,,off~C2,3.42,1,1,2,0,3,3,11
halt,halt,0,,C1,3.93,1,1,2,0,3,3,11
textile,textile,0,,off~C1+,3.75,1,1,2,0,2,6,11
pacifist,pacifist,0,,off~C2,3.07,1,1,2,0,2,6,11
chew,chew,0,,off~C1+,3.66,1,0,0,0,4,5,11
navigational,navigational,0,,off~C2,2.99,1,1,0,0,3,7,11
legalize,legalize,0,,off~C2,3.28,1,0,1,0,3,4,11
beam,beam,0,,C1,4.14,1,1,0,0,3,13,11
tact,tact,0,,off~C2,3.08,1,0,2,0,2,3,11
regenerate,regenerate,0,,off~C2,3.15,1,0,2,0,2,3,11
invariably,invariably,0,,off~C2,3.44,1,0,1,0,4,4,10
cluster,cluster,0,,C1,3.99,1,0,0,1,4,5,10
fragile,fragile,0,,C1,3.86,1,0,1,0,4,4,10
conference,conference,0,,A2,5.01,1,0,0,0,4,6,10
ring,ring,0,,A2,4.81,1,0,0,0,5,6,10
dust,dust,0,,B1,4.41,1,0,0,0,5,6,10
defend,defend,0,,B2,4.47,1,0,0,0,4,4,10
package,package,0,,B1,4.46,1,0,0,0,4,6,10
rotate,rotate,0,,C1,3.77,1,0,0,0,4,6,10
empty,empty,0,,A2,4.59,1,1,0,0,5,5,10
separately,separately,0,,off~C1,4.08,1,0,0,0,3,4,10
peculiar,peculiar,0,,C1,3.67,1,0,1,0,4,4,10
alleviate,alleviate,0,,off~C1+,3.52,1,1,1,0,4,4,10
mistakenly,mistakenly,0,,off~C2,3.45,1,0,1,0,3,3,10
reign,reign,0,,C1,4.07,1,1,0,0,5,5,10
confusion,confusion,0,,B2,4.19,1,0,1,0,3,3,10
suffix,suffix,0,,off~C2,3.05,1,1,0,1,2,4,10
obscure,obscure,0,,off~C1+,3.85,1,1,1,0,4,4,10
celebration,celebration,0,,B1,4.29,1,0,0,1,4,8,10
precisely,precisely,0,,B2,4.2,1,0,0,0,4,6,10
repetition,repetition,0,,off~C2,3.48,1,0,1,0,3,3,10
normally,normally,0,,A2,4.57,1,0,0,0,4,4,10
cruel,cruel,0,,B1,4.12,1,0,0,0,4,5,10
diverse,diverse,0,,B2,4.24,1,1,0,0,5,5,10
budget,budget,0,,B2,4.82,1,1,0,0,4,4,10
erupt,erupt,0,,B2,3.39,1,1,1,0,3,3,10
instruction,instruction,0,,A2,4.37,1,0,0,0,5,5,10
magical,magical,0,,C1,4.22,1,0,0,0,4,5,10
illustration,illustration,0,,B2,3.92,1,0,0,0,4,4,10
phase,phase,0,,B2,4.64,1,0,1,0,3,3,10
raid,raid,0,,C1,4.19,1,1,0,0,3,5,10
overlook,overlook,0,,C1,3.68,1,0,0,0,4,5,10
score,score,0,,A2,4.83,1,0,1,0,4,5,10
ornament,ornament,0,,off~C2,3.39,1,0,1,0,3,3,10
tune,tune,0,,B2,4.27,1,0,1,0,4,4,10
reproduction,reproduction,0,,C1,3.79,1,0,0,0,4,6,10
register,register,0,,B2,4.59,1,0,0,0,3,4,10
sake,sake,0,,C1,4.4,1,0,0,0,4,4,10
thread,thread,0,,C1,4.44,1,1,0,0,4,4,10
inscription,inscription,0,,off~C1+,3.54,1,1,0,0,4,6,10
ray,ray,0,,C1,4.69,1,0,0,0,4,7,10
keen,keen,0,,B1,4.13,1,1,1,0,4,4,10
recount,recount,0,,C1,3.24,1,0,1,0,4,4,10
captivate,captivate,0,,off~C2,3.17,1,0,1,0,4,4,10
possession,possession,0,,A2,4.38,1,0,0,0,5,5,10
corporation,corporation,0,,B2,4.59,1,1,0,1,2,5,10
monument,monument,1,monument,B2,3.9,1,0,1,0,4,4,10
howl,howl,0,,off~C2,3.18,1,0,0,0,4,4,10
hypothesis,hypothesis,0,,B2,3.87,1,0,0,1,4,5,10
milestone,milestone,0,,off~C1+,3.71,1,1,1,0,4,4,10
miraculous,miraculous,0,,off~C2,3.43,1,0,0,0,4,5,10
uncover,uncover,0,,off~C1+,3.73,1,1,0,0,5,5,10
angle,angle,0,,B2,4.38,1,0,0,0,4,5,10
anxiety,anxiety,1,anxiety,B2,4.45,1,0,0,0,4,6,10
incident,incident,0,,B2,4.54,1,0,0,0,3,4,10
edifice,edifice,0,,off~C2,2.93,1,0,1,0,3,3,10
landmark,landmark,0,,C1,3.89,1,1,0,0,3,4,10
fiber,fiber,0,,off~C1,4.06,1,0,0,0,4,4,10
recipe,recipe,0,,A2,4.23,1,0,1,0,3,3,10
silent,silent,0,,B1,4.45,1,0,0,0,3,5,10
visual,visual,0,,B2,4.5,1,0,0,1,4,5,10
wander,wander,0,,B2,3.8,1,0,1,0,4,4,10
payment,payment,0,,B1,4.66,1,0,1,0,4,4,10
bore,bore,0,,A1,4.2,1,0,1,0,3,3,10
donor,donor,0,,C1,3.92,1,0,0,0,3,4,10
organ,organ,0,,B2,4.14,1,1,0,0,4,4,9
compensate,compensate,0,,C1,3.78,1,1,1,0,3,3,9
silence,silence,0,,B2,4.46,1,0,0,0,3,5,9
delegation,delegation,0,,C1,3.92,1,0,0,1,3,6,9
embroider,embroider,0,,off~C2,3.34,1,0,0,0,3,3,9
revolution,revolution,1,revolution,B2,4.56,1,0,0,0,4,4,9
faith,faith,0,,B2,4.82,1,0,1,0,3,3,9
corrupt,corrupt,0,,C1,4.14,1,0,0,0,3,4,9
brief,brief,0,,B2,4.52,1,0,1,0,3,3,9
descendant,descendant,0,,off~C1+,3.71,1,1,0,0,3,4,9
beneath,beneath,0,,C1,4.24,1,0,0,0,4,4,9
apartment,apartment,0,,A1,4.65,1,0,0,0,3,4,9
calendar,calendar,0,,off~B2,4.3,1,1,0,0,3,4,9
metaphor,metaphor,0,,B2,3.73,1,0,0,0,3,4,9
someday,someday,0,,off~C1,4.05,1,0,1,0,3,3,9
propel,propel,0,,off~C2,3.48,1,1,0,0,3,4,9
competitor,competitor,0,,B1,4.11,1,1,0,0,3,3,9
relief,relief,0,,B2,4.55,1,0,0,0,3,4,9
cheerful,cheerful,0,,B1,3.6,1,0,0,0,4,4,9
suppress,suppress,0,,C1,3.66,1,0,1,0,3,3,9
discomfort,discomfort,0,,off~C1+,3.65,1,0,0,0,4,4,9
orchestra,orchestra,0,,B2,4.01,1,0,0,0,3,5,9
frank,frank,0,,off~B2,4.75,1,0,0,0,3,3,9
prominence,prominence,0,,off~C1+,3.54,1,0,1,0,3,3,9
eagerly,eagerly,0,,off~C2,3.49,1,1,0,0,5,5,9
hollow,hollow,0,,B2,3.95,1,0,0,0,4,4,9
collaborate,collaborate,0,,C1,3.51,1,0,1,0,3,3,9
tendency,tendency,0,,B2,3.96,1,1,0,0,4,4,9
differentiate,differentiate,0,,C1,3.62,1,1,0,0,4,4,9
administration,administration,1,administration,B2,4.93,1,0,0,0,4,4,9
maze,maze,0,,off~C1+,3.65,1,0,1,0,3,3,9
lucrative,lucrative,0,,off~C1+,3.56,1,0,1,0,3,3,9
bestow,bestow,0,,off~C2,3.39,1,0,0,1,3,4,9
sibling,sibling,0,,B2,4.05,1,0,0,0,5,5,9
kit,kit,0,,B2,4.42,1,0,0,0,3,3,9
privilege,privilege,0,,C1,4.2,1,0,0,0,5,5,9
revert,revert,0,,off~C2,3.35,1,0,1,0,3,3,9
entitle,entitle,0,,C1,4.51,1,0,0,0,3,5,9
tunnel,tunnel,0,,B2,4.24,1,0,0,0,3,3,9
chapter,chapter,1,chapter,B1,4.65,1,0,0,0,5,7,9
meaningful,meaningful,0,,C1,4.14,1,1,1,0,3,3,9
switch,switch,0,,B1,4.6,1,0,0,1,3,4,9
overrun,overrun,0,,off~C2,3.36,1,1,1,0,3,3,9
dawn,dawn,0,,C1,4.27,1,0,0,0,3,4,9
closing,closing,0,,off~B2,4.46,1,0,1,0,3,3,9
virtuous,virtuous,0,,off~C2,3.23,1,0,0,1,3,4,9
constrain,constrain,0,,off~C2,3.41,1,0,0,1,3,4,9
invaluable,invaluable,0,,off~C1+,3.54,1,0,1,0,3,3,9
column,column,0,,A2,4.33,1,0,0,0,3,4,9
revival,revival,0,,C1,3.93,1,1,0,0,3,3,9
fixe,fixe,0,,B1,4.7,1,0,0,0,5,5,9
commence,commence,0,,C1,3.78,1,0,1,0,3,3,9
royalty,royalty,0,,off~C1+,3.8,1,0,1,0,3,3,9
hut,hut,0,,off~C1+,3.84,1,1,0,0,3,3,9
misery,misery,0,,C1,3.89,1,0,1,0,3,3,9
erode,erode,0,,off~C2,3.33,1,0,1,0,3,3,9
majestic,majestic,0,,off~C1+,3.57,1,0,1,0,3,3,9
backdrop,backdrop,0,,C1,3.58,1,1,0,1,3,4,9
soothe,soothe,0,,off~C2,3.45,1,0,1,0,3,3,9
expedition,expedition,0,,B1,3.99,1,1,0,0,3,5,9
indefinitely,indefinitely,0,,off~C1+,3.65,1,0,0,0,2,4,9
bathe,bathe,0,,off~C2,3.22,1,0,1,0,2,2,8
grace,grace,0,,C1,4.56,1,0,0,0,3,3,8
similarly,similarly,0,,B1,4.3,1,0,0,0,3,3,8
terrify,terrify,0,,B2,3.94,1,0,0,0,2,3,8
rude,rude,0,,A2,4.25,1,1,1,0,2,2,8
oppress,oppress,0,,off~C1+,3.56,1,0,1,0,2,2,8
exhale,exhale,0,,off~C2,3.11,1,0,1,0,2,2,8
expansion,expansion,0,,B2,4.54,1,0,0,0,3,3,8
wage,wage,0,,B2,4.44,1,0,0,0,2,3,8
worsen,worsen,0,,off~C2,3.13,1,1,1,0,2,2,8
slope,slope,0,,B2,3.9,1,1,0,0,2,3,8
trail,trail,0,,C1,4.45,1,1,0,0,4,4,8
subsequent,subsequent,0,,B2,4.39,1,0,0,0,4,4,8
finance,finance,0,,B2,4.65,1,0,0,0,3,3,8
tent,tent,0,,B1,4.05,1,0,0,0,3,3,8
lean,lean,0,,B2,4.14,1,0,0,0,3,3,8
accusation,accusation,0,,C1,3.85,1,0,1,0,2,2,8
gap,gap,0,,A2,4.47,1,1,0,0,4,4,8
joint,joint,0,,B2,4.71,1,1,1,0,2,2,8
bit,bit,0,,A2,5.37,1,0,0,0,4,4,8
plow,plow,0,,off~C2,3.21,1,0,0,0,4,4,8
dictate,dictate,0,,C1,3.58,1,0,0,0,4,4,8
innumerable,innumerable,0,,off~C2,3.03,1,1,1,0,2,2,8
abstain,abstain,0,,off~C2,3.07,1,0,0,0,2,3,8
navigation,navigation,0,,B2,4.03,1,1,0,0,3,3,8
regrettably,regrettably,0,,off~C2,2.88,1,0,1,0,2,2,8
rarity,rarity,0,,off~C2,3.36,1,1,0,0,2,3,8
deprivation,deprivation,0,,off~C2,3.44,1,0,0,1,2,3,8
mimic,mimic,0,,off~C2,3.49,1,1,1,0,2,2,8
distribute,distribute,0,,B2,4.31,1,0,0,0,3,3,8
slaughter,slaughter,0,,off~C1+,3.84,1,1,0,0,2,6,8
timid,timid,0,,off~C2,3.25,1,0,0,0,2,3,8
inject,inject,0,,C1,3.44,1,0,0,0,2,3,8
polish,polish,0,,off~C1,4.29,1,0,0,0,3,3,8
morality,morality,0,,C1,3.86,1,0,1,0,2,2,8
clarity,clarity,0,,C1,3.9,1,1,1,0,2,2,8
headache,headache,0,,A2,3.97,1,0,0,0,2,4,8
inconsiderate,inconsiderate,0,,off~C2,3.04,1,0,1,0,2,2,8
blur,blur,0,,off~C1+,3.55,1,1,0,0,2,3,8
gossip,gossip,0,,off~C1+,3.88,1,0,0,0,2,3,8
thesis,thesis,0,,B2,4.05,1,0,0,0,2,3,8
offspring,offspring,0,,C1,3.77,1,0,1,0,2,2,8
conservation,conservation,0,,B2,4.33,1,1,0,0,3,3,8
concur,concur,0,,off~C2,3.18,1,0,1,0,2,2,8
turbulent,turbulent,0,,off~C2,3.47,1,0,1,0,2,2,8
finely,finely,0,,off~C1+,3.52,1,0,1,0,2,2,8
compile,compile,0,,C1,3.98,1,0,1,0,2,2,8
opaque,opaque,0,,off~C2,3.37,1,0,0,1,2,3,8
mosaic,mosaic,0,,off~C1+,3.58,1,0,0,0,3,3,8
bravely,bravely,0,,off~C2,3.27,1,0,1,0,2,2,8
hazardous,hazardous,0,,off~C1+,3.71,1,0,1,0,2,2,8
fork,fork,0,,A2,4.03,1,0,0,0,3,3,8
random,random,0,,B2,4.58,1,0,0,0,3,3,8
mutual,mutual,0,,C1,4.26,1,0,1,0,2,2,8
pure,pure,0,,B2,4.64,1,0,0,0,3,4,8
deliberately,deliberately,0,,B2,4.02,1,1,0,0,4,4,8
dilemma,dilemma,0,,C1,3.73,1,0,1,0,2,2,8
criterion,criterion,0,,B2,4.21,1,0,1,0,2,2,8
aboard,aboard,0,,off~C1,4.14,1,0,0,0,4,4,8
populous,populous,0,,off~C2,3.41,1,0,1,0,2,2,8
intention,intention,0,,B1,4.33,1,0,0,0,4,4,8
division,division,0,,B2,4.86,1,0,1,0,2,2,8
enigma,enigma,0,,off~C2,3.24,1,1,0,0,2,3,8
fragrant,fragrant,0,,off~C2,3.21,1,0,1,0,2,2,8
deficient,deficient,0,,off~C2,3.33,1,0,1,0,2,2,8
tight,tight,0,,B1,4.57,1,0,0,0,4,4,8
selection,selection,0,,B2,4.62,1,0,0,0,3,3,8
pot,pot,0,,B1,4.4,1,0,0,0,3,3,8
principally,principally,0,,off~C2,3.4,1,1,1,0,2,2,8
district,district,0,,B2,5.04,1,1,0,0,3,3,8
filter,filter,0,,C1,4.28,1,0,0,0,2,3,8
tarnish,tarnish,0,,off~C2,2.95,1,0,1,0,2,2,8
plunder,plunder,0,,off~C2,3.1,1,1,0,0,2,3,8
inflexible,inflexible,0,,off~C2,2.89,1,0,1,0,2,2,8
meanwhile,meanwhile,0,,B1,4.48,1,0,0,0,4,4,8
extravagant,extravagant,0,,off~C2,3.4,1,1,1,0,2,2,8
restraint,restraint,0,,C1,3.64,1,0,1,0,2,2,8
quest,quest,0,,C1,4.27,1,1,0,1,2,3,8
innocence,innocence,0,,off~C1+,3.83,1,0,0,0,2,3,8
bulk,bulk,0,,C1,4.19,1,0,1,0,2,2,8
fraud,fraud,0,,B2,4.37,1,0,0,0,2,3,8
wrath,wrath,0,,off~C1+,3.7,1,0,1,0,2,2,8
cough,cough,0,,off~C1+,3.95,1,0,0,0,3,3,8
silently,silently,0,,off~C1+,3.58,1,0,0,0,2,4,8
swell,swell,0,,off~C1+,3.64,1,1,1,0,2,2,8
discern,discern,0,,off~C2,3.23,1,0,1,0,2,2,8
behold,behold,0,,off~C1+,3.76,1,0,1,0,2,2,8
retrieve,retrieve,0,,C1,3.69,1,0,0,0,3,3,8
monologue,monologue,0,,off~C2,3.27,1,0,0,0,2,4,8
badge,badge,0,,B2,4.02,1,0,0,0,2,4,8
renounce,renounce,0,,off~C2,3.19,1,0,1,0,2,2,8
sensor,sensor,0,,off~C1+,3.93,1,0,0,0,2,7,8
refuge,refuge,0,,C1,3.91,1,1,0,0,3,5,8
adverse,adverse,0,,C1,3.89,1,0,1,0,2,2,8
edit,edit,0,,B2,4.31,1,0,1,0,2,2,8
suspicious,suspicious,0,,C1,4.09,1,0,0,0,3,3,8
consistently,consistently,0,,B2,4.24,1,1,1,0,2,2,8
eloquent,eloquent,0,,off~C2,3.21,1,0,1,0,2,2,8
craft,craft,0,,B2,4.3,1,0,0,0,2,5,8
gradual,gradual,0,,off~C1+,3.67,1,0,1,0,2,2,8
defective,defective,0,,off~C1+,3.57,1,1,0,0,2,9,8
idealize,idealize,0,,off~C2,2.94,1,1,1,0,2,2,8
security,security,1,security,B1,5.2,1,0,0,0,3,3,8
encompass,encompass,0,,C1,3.41,1,0,1,0,2,2,8
league,league,0,,B2,5.13,1,0,0,0,2,7,8
vendor,vendor,0,,off~C1+,3.79,1,1,0,0,2,4,8
evacuate,evacuate,0,,C1,3.66,1,0,1,0,2,2,8
plunge,plunge,0,,C1,3.49,1,1,0,0,2,3,8
sprawl,sprawl,0,,off~C2,3.19,1,0,1,0,2,2,8
stubborn,stubborn,0,,off~C1+,3.76,1,0,1,0,2,2,8
revere,revere,0,,off~C2,3.34,1,0,1,0,2,2,8
delicacy,delicacy,0,,off~C2,3.18,1,1,0,0,2,3,8
fraction,fraction,0,,B2,3.96,1,1,1,0,2,2,8
mandatory,mandatory,0,,C1,4.13,1,0,1,0,2,2,8
subscribe,subscribe,0,,off~C1,4.02,1,0,1,0,2,2,8
provision,provision,0,,C1,4.14,1,0,1,0,2,2,8
emblematic,emblematic,0,,off~C2,2.87,1,0,1,0,2,2,8
credible,credible,0,,C1,3.77,1,0,1,0,2,2,8
suction,suction,0,,off~C2,3.36,1,0,0,0,2,7,8
hesitant,hesitant,0,,off~C2,3.41,1,0,1,0,2,2,8
shortcoming,shortcoming,0,,off~C2,3.45,1,0,0,1,2,3,8
extravagance,extravagance,0,,off~C2,2.81,1,0,0,0,2,3,8
exploitation,exploitation,0,,C1,3.84,1,0,1,0,2,2,8
sanitary,sanitary,0,,off~C2,3.37,1,0,0,0,2,4,8
script,script,0,,B1,4.36,1,1,0,0,2,5,8
overturn,overturn,0,,C1,3.49,1,0,1,0,2,2,8
polite,polite,0,,A2,3.92,1,0,0,0,2,3,8
hiatus,hiatus,0,,off~C2,3.49,1,0,1,0,2,2,8
misplace,misplace,0,,off~C2,3.39,1,0,1,0,2,2,8
simultaneously,simultaneously,0,,C1,4.17,1,0,1,0,2,2,8
quotation,quotation,0,,B1,3.51,1,0,0,1,2,2,7
plummet,plummet,0,,off~C2,2.91,1,1,0,0,3,3,7
pool,pool,0,,A1,4.67,1,0,0,0,2,2,7
fence,fence,0,,B1,4.21,1,0,0,0,3,3,7
brightly,brightly,0,,off~C2,3.44,1,0,0,0,3,3,7
asset,asset,0,,B2,4.56,1,0,0,0,3,3,7
circulation,circulation,0,,C1,3.96,1,0,0,0,3,3,7
discount,discount,0,,B1,4.35,1,0,0,0,3,3,7
albeit,albeit,0,,C1,3.91,1,0,0,0,3,3,7
proudly,proudly,0,,off~C1+,3.71,1,0,0,0,3,3,7
awkwardly,awkwardly,0,,off~C2,3.25,1,1,0,0,2,2,7
curious,curious,0,,B2,4.45,1,0,0,0,3,3,7
rejection,rejection,0,,C1,3.9,1,0,0,0,2,2,7
trophy,trophy,0,,C1,4.17,1,0,0,0,2,2,7
awaken,awaken,0,,off~C2,3.35,1,0,0,0,3,3,7
reply,reply,0,,A2,4.5,1,0,0,0,3,3,7
extension,extension,0,,B2,4.46,1,0,0,0,3,3,7
submerge,submerge,0,,off~C1+,3.51,1,0,0,0,3,3,7
surpass,surpass,0,,off~C1+,3.62,1,1,0,0,3,3,7
confiscate,confiscate,0,,off~C2,3.48,1,0,0,0,3,3,7
span,span,0,,C1,4.07,1,1,0,0,3,3,7
folding,folding,0,,B2,3.7,1,0,0,0,3,8,7
firm,firm,0,,B2,4.79,1,0,0,0,3,4,7
false,false,0,,A1,4.63,1,0,0,0,2,2,7
torment,torment,0,,off~C2,3.36,1,0,0,0,2,2,7
outdated,outdate,0,,off~C1+,3.66,1,0,0,0,2,2,7
flammable,flammable,0,,off~C2,3.17,1,1,0,0,2,2,7
converse,converse,0,,off~C2,3.48,1,0,0,0,2,2,7
generously,generously,0,,off~C2,3.29,1,0,0,0,2,2,7
enroll,enroll,0,,off~C1+,3.92,1,0,0,0,3,3,7
endurance,endurance,0,,off~C1+,3.74,1,0,0,0,3,3,7
consonant,consonant,0,,off~C2,3.09,1,0,0,0,2,2,7
conscience,conscience,0,,C1,3.96,1,1,0,0,3,3,7
management,management,0,,B1,5.13,1,0,0,0,2,2,7
peasant,peasant,0,,C1,3.66,1,0,0,0,2,2,7
etiquette,etiquette,0,,off~C2,3.4,1,0,0,0,2,2,7
privately,privately,0,,off~C1,4.01,1,0,0,0,2,2,7
navigator,navigator,0,,off~C2,3.29,1,0,0,0,3,3,7
endeavor,endeavor,0,,off~C1+,3.56,1,0,0,0,3,3,7
well-balance,well-balance,0,,off~B2,4.74,1,0,0,0,2,2,7
quote,quote,0,,B1,4.51,1,0,0,0,3,3,7
frame,frame,0,,B1,4.58,1,0,0,0,3,3,7
interval,interval,0,,B2,3.77,1,0,0,0,3,3,7
